# Simulated MCMC Chain Data for UAT Framework (H0, k_early, omega_b, log_likelihood)
H0	k_early	omega_b	log_likelihood
7.299362e+01	9.794937e-01	2.235633e-02	-1.450364e+03
7.243508e+01	9.746005e-01	2.252816e-02	-1.450664e+03
7.214696e+01	9.802395e-01	2.236681e-02	-1.451524e+03
7.340589e+01	9.811053e-01	2.233703e-02	-1.449762e+03
7.325786e+01	9.626033e-01	2.226086e-02	-1.450687e+03
7.287735e+01	9.489069e-01	2.263325e-02	-1.451932e+03
7.164312e+01	9.695770e-01	2.238809e-02	-1.450874e+03
7.375034e+01	9.802173e-01	2.232260e-02	-1.449178e+03
7.365303e+01	9.523007e-01	2.200593e-02	-1.449719e+03
7.240909e+01	9.786851e-01	2.264061e-02	-1.450426e+03
7.374052e+01	9.545247e-01	2.225066e-02	-1.451110e+03
7.366265e+01	9.708603e-01	2.257753e-02	-1.449363e+03
7.200832e+01	9.776162e-01	2.234854e-02	-1.451258e+03
7.135766e+01	9.487744e-01	2.251188e-02	-1.450767e+03
7.289529e+01	9.749061e-01	2.245415e-02	-1.449793e+03
7.170755e+01	9.684723e-01	2.224187e-02	-1.450962e+03
7.340364e+01	9.706571e-01	2.237507e-02	-1.449308e+03
7.391038e+01	9.794441e-01	2.223671e-02	-1.450996e+03
7.321775e+01	9.767983e-01	2.250962e-02	-1.450649e+03
7.277088e+01	9.674260e-01	2.229521e-02	-1.448566e+03
7.255312e+01	9.653847e-01	2.231131e-02	-1.450548e+03
7.204762e+01	9.770023e-01	2.253646e-02	-1.449586e+03
7.177713e+01	9.751421e-01	2.268003e-02	-1.449859e+03
7.237905e+01	9.741933e-01	2.213170e-02	-1.450918e+03
7.373572e+01	9.886048e-01	2.263289e-02	-1.450608e+03
7.271103e+01	9.872591e-01	2.269842e-02	-1.449633e+03
7.230018e+01	9.486568e-01	2.276665e-02	-1.449458e+03
7.334470e+01	9.754040e-01	2.249840e-02	-1.451326e+03
7.210625e+01	9.750021e-01	2.249285e-02	-1.448903e+03
7.324886e+01	9.607431e-01	2.246196e-02	-1.451194e+03
7.399745e+01	9.532285e-01	2.276048e-02	-1.451455e+03
7.319221e+01	9.710680e-01	2.257721e-02	-1.449975e+03
7.413262e+01	9.632692e-01	2.255967e-02	-1.451200e+03
7.407455e+01	9.778267e-01	2.200847e-02	-1.450697e+03
7.428378e+01	9.554275e-01	2.228124e-02	-1.450459e+03
7.345620e+01	9.664547e-01	2.241208e-02	-1.449635e+03
7.330677e+01	9.565055e-01	2.236946e-02	-1.451117e+03
7.389526e+01	9.763918e-01	2.215510e-02	-1.450437e+03
7.267817e+01	9.706597e-01	2.271867e-02	-1.452235e+03
7.179935e+01	9.770461e-01	2.235111e-02	-1.449340e+03
7.353008e+01	9.708582e-01	2.234501e-02	-1.448525e+03
7.428140e+01	9.573379e-01	2.224407e-02	-1.449225e+03
7.587136e+01	9.779702e-01	2.268969e-02	-1.449834e+03
7.371583e+01	9.475498e-01	2.218468e-02	-1.450956e+03
7.406699e+01	9.642537e-01	2.225533e-02	-1.452240e+03
7.204909e+01	9.831998e-01	2.223073e-02	-1.449733e+03
7.186170e+01	9.657263e-01	2.226713e-02	-1.448254e+03
7.442484e+01	9.633329e-01	2.218166e-02	-1.449101e+03
7.326170e+01	9.610037e-01	2.214485e-02	-1.449900e+03
7.209554e+01	9.659257e-01	2.251939e-02	-1.449914e+03
7.210860e+01	9.697921e-01	2.242619e-02	-1.450489e+03
7.269135e+01	9.450877e-01	2.238486e-02	-1.451194e+03
7.313363e+01	9.690139e-01	2.268751e-02	-1.448448e+03
7.455733e+01	9.536453e-01	2.261651e-02	-1.450725e+03
7.225512e+01	9.903509e-01	2.232864e-02	-1.448696e+03
7.332742e+01	9.654113e-01	2.245746e-02	-1.450676e+03
7.069304e+01	9.524349e-01	2.230234e-02	-1.450270e+03
7.202337e+01	9.567881e-01	2.261332e-02	-1.450553e+03
7.489677e+01	9.764378e-01	2.236536e-02	-1.450332e+03
7.369387e+01	9.517656e-01	2.237145e-02	-1.447962e+03
7.290039e+01	9.422560e-01	2.199425e-02	-1.451132e+03
7.312517e+01	9.646686e-01	2.234383e-02	-1.449181e+03
7.346612e+01	9.744809e-01	2.263216e-02	-1.451380e+03
7.239501e+01	9.666625e-01	2.269230e-02	-1.447980e+03
7.355092e+01	9.555258e-01	2.234860e-02	-1.448589e+03
7.403250e+01	9.775763e-01	2.231059e-02	-1.449116e+03
7.216649e+01	9.705406e-01	2.246319e-02	-1.451252e+03
7.457887e+01	9.559557e-01	2.267653e-02	-1.449872e+03
7.398827e+01	9.643807e-01	2.240547e-02	-1.450223e+03
7.333038e+01	9.619582e-01	2.258877e-02	-1.451000e+03
7.307440e+01	9.520782e-01	2.220824e-02	-1.450807e+03
7.386771e+01	9.646484e-01	2.236002e-02	-1.449393e+03
7.393000e+01	9.816546e-01	2.238895e-02	-1.450360e+03
7.202060e+01	9.700494e-01	2.216737e-02	-1.449429e+03
7.306854e+01	9.691507e-01	2.225260e-02	-1.450856e+03
7.284927e+01	9.665748e-01	2.235854e-02	-1.449205e+03
7.330554e+01	9.628504e-01	2.241727e-02	-1.450139e+03
7.272475e+01	9.642755e-01	2.222372e-02	-1.449181e+03
7.309446e+01	9.540901e-01	2.224877e-02	-1.449409e+03
7.255745e+01	9.683846e-01	2.250775e-02	-1.450421e+03
7.391484e+01	9.601902e-01	2.245101e-02	-1.451729e+03
7.408443e+01	9.825896e-01	2.229116e-02	-1.451833e+03
7.377951e+01	9.854647e-01	2.239650e-02	-1.449512e+03
7.291728e+01	9.768114e-01	2.248373e-02	-1.450385e+03
7.244225e+01	9.527999e-01	2.219790e-02	-1.450851e+03
7.294521e+01	9.477633e-01	2.213768e-02	-1.449719e+03
7.318058e+01	9.780899e-01	2.262657e-02	-1.453621e+03
7.370344e+01	9.685659e-01	2.254451e-02	-1.450637e+03
7.313369e+01	9.670186e-01	2.247634e-02	-1.448842e+03
7.284285e+01	9.737677e-01	2.230679e-02	-1.449876e+03
7.319819e+01	9.588197e-01	2.242692e-02	-1.451349e+03
7.319062e+01	9.383911e-01	2.241379e-02	-1.449449e+03
7.277455e+01	9.675550e-01	2.233573e-02	-1.449419e+03
7.370913e+01	9.636601e-01	2.239105e-02	-1.451511e+03
7.300448e+01	9.534254e-01	2.240826e-02	-1.449290e+03
7.245601e+01	9.565173e-01	2.206038e-02	-1.450261e+03
7.255363e+01	9.595263e-01	2.237397e-02	-1.451039e+03
7.210772e+01	9.847584e-01	2.247815e-02	-1.450479e+03
7.267951e+01	9.466584e-01	2.235795e-02	-1.450605e+03
7.259120e+01	9.657921e-01	2.258043e-02	-1.449175e+03
7.385681e+01	9.665506e-01	2.235783e-02	-1.450241e+03
7.141503e+01	9.742032e-01	2.256611e-02	-1.449983e+03
7.144393e+01	9.735251e-01	2.250824e-02	-1.449861e+03
7.386774e+01	9.718336e-01	2.221956e-02	-1.450392e+03
7.388702e+01	9.471759e-01	2.226631e-02	-1.450156e+03
7.140201e+01	9.549683e-01	2.231360e-02	-1.451211e+03
7.215140e+01	9.695145e-01	2.264565e-02	-1.452613e+03
7.324615e+01	9.812784e-01	2.265335e-02	-1.451534e+03
7.353407e+01	9.510082e-01	2.243925e-02	-1.450325e+03
7.212902e+01	9.765228e-01	2.227888e-02	-1.450370e+03
7.192952e+01	9.437495e-01	2.268788e-02	-1.450423e+03
7.282859e+01	9.618250e-01	2.232135e-02	-1.450325e+03
7.319503e+01	9.575294e-01	2.252028e-02	-1.452310e+03
7.192310e+01	9.837745e-01	2.229536e-02	-1.449149e+03
7.283797e+01	9.592871e-01	2.223450e-02	-1.450752e+03
7.313300e+01	9.522912e-01	2.246818e-02	-1.450096e+03
7.465900e+01	9.680881e-01	2.271767e-02	-1.450945e+03
7.351076e+01	9.680439e-01	2.243568e-02	-1.449482e+03
7.356414e+01	9.815553e-01	2.255453e-02	-1.450510e+03
7.227636e+01	9.775517e-01	2.217721e-02	-1.451697e+03
7.232164e+01	9.649189e-01	2.253426e-02	-1.450185e+03
7.266524e+01	9.855998e-01	2.251762e-02	-1.450445e+03
7.218686e+01	9.511289e-01	2.255559e-02	-1.450439e+03
7.345272e+01	9.819200e-01	2.248256e-02	-1.449200e+03
7.306099e+01	9.699391e-01	2.261192e-02	-1.448403e+03
7.343304e+01	9.552932e-01	2.269108e-02	-1.451488e+03
7.285922e+01	9.554799e-01	2.250083e-02	-1.451129e+03
7.283125e+01	9.635566e-01	2.227537e-02	-1.449451e+03
7.466142e+01	9.664984e-01	2.259255e-02	-1.448123e+03
7.245885e+01	9.503346e-01	2.249536e-02	-1.448590e+03
7.411444e+01	9.518604e-01	2.247496e-02	-1.451459e+03
7.378894e+01	9.762272e-01	2.230301e-02	-1.451156e+03
7.260977e+01	9.945812e-01	2.229483e-02	-1.449859e+03
7.249249e+01	9.638090e-01	2.247058e-02	-1.451759e+03
7.266059e+01	9.479947e-01	2.215478e-02	-1.451039e+03
7.373122e+01	9.615698e-01	2.254437e-02	-1.450428e+03
7.178119e+01	9.602311e-01	2.256038e-02	-1.451163e+03
7.290535e+01	9.562019e-01	2.257680e-02	-1.451160e+03
7.274301e+01	9.716474e-01	2.250248e-02	-1.449233e+03
7.380879e+01	9.538154e-01	2.238673e-02	-1.451097e+03
7.235194e+01	9.570614e-01	2.262864e-02	-1.449665e+03
7.386933e+01	9.740140e-01	2.233666e-02	-1.449782e+03
7.236071e+01	9.632517e-01	2.232593e-02	-1.449797e+03
7.201823e+01	9.586747e-01	2.231878e-02	-1.450625e+03
7.326814e+01	9.571571e-01	2.224507e-02	-1.450423e+03
7.297365e+01	9.674102e-01	2.218136e-02	-1.449034e+03
7.320416e+01	9.570382e-01	2.237860e-02	-1.450539e+03
7.251027e+01	9.350030e-01	2.247273e-02	-1.449099e+03
7.271762e+01	9.678572e-01	2.295848e-02	-1.448263e+03
7.165737e+01	9.800562e-01	2.256928e-02	-1.449938e+03
7.359674e+01	9.600037e-01	2.233533e-02	-1.449958e+03
7.342939e+01	9.581559e-01	2.240735e-02	-1.451821e+03
7.039061e+01	9.688347e-01	2.237179e-02	-1.449220e+03
7.175302e+01	9.555752e-01	2.255176e-02	-1.449799e+03
7.147653e+01	9.625389e-01	2.221189e-02	-1.450680e+03
7.203358e+01	9.719651e-01	2.246532e-02	-1.449546e+03
7.367064e+01	9.605358e-01	2.229289e-02	-1.450754e+03
7.300567e+01	9.734802e-01	2.272281e-02	-1.449979e+03
7.347383e+01	9.826855e-01	2.245651e-02	-1.447905e+03
7.286600e+01	9.753689e-01	2.246230e-02	-1.450278e+03
7.339333e+01	9.658982e-01	2.245128e-02	-1.451313e+03
7.253867e+01	9.667983e-01	2.218881e-02	-1.449527e+03
7.311264e+01	9.485137e-01	2.251634e-02	-1.451260e+03
7.398363e+01	9.563662e-01	2.260534e-02	-1.449525e+03
7.347853e+01	9.626771e-01	2.255269e-02	-1.449321e+03
7.316302e+01	9.458202e-01	2.241638e-02	-1.450524e+03
7.287120e+01	9.538659e-01	2.250787e-02	-1.450560e+03
7.159973e+01	9.580892e-01	2.229294e-02	-1.450292e+03
7.259191e+01	9.664116e-01	2.249245e-02	-1.450136e+03
7.378967e+01	9.603493e-01	2.231641e-02	-1.449600e+03
7.514718e+01	9.534272e-01	2.249989e-02	-1.450193e+03
7.273028e+01	9.737956e-01	2.260460e-02	-1.450697e+03
7.150210e+01	9.691925e-01	2.238493e-02	-1.451623e+03
7.354291e+01	9.593656e-01	2.249764e-02	-1.449786e+03
7.240180e+01	9.872571e-01	2.206892e-02	-1.451339e+03
7.365770e+01	9.542808e-01	2.233129e-02	-1.451451e+03
7.272466e+01	9.641153e-01	2.235211e-02	-1.449177e+03
7.363351e+01	9.677324e-01	2.227331e-02	-1.450428e+03
7.160727e+01	9.665114e-01	2.230191e-02	-1.449368e+03
7.347338e+01	9.674473e-01	2.244633e-02	-1.450187e+03
7.390339e+01	9.532219e-01	2.238657e-02	-1.450108e+03
7.356698e+01	9.441238e-01	2.239602e-02	-1.448630e+03
7.369311e+01	9.622974e-01	2.268035e-02	-1.451408e+03
7.196177e+01	9.580869e-01	2.245416e-02	-1.452612e+03
7.302647e+01	9.609276e-01	2.233609e-02	-1.449242e+03
7.355251e+01	9.903372e-01	2.251880e-02	-1.449127e+03
7.190417e+01	9.700879e-01	2.238329e-02	-1.451004e+03
7.218541e+01	9.483066e-01	2.227516e-02	-1.449841e+03
7.249881e+01	9.603386e-01	2.248783e-02	-1.449549e+03
7.438333e+01	9.793270e-01	2.262068e-02	-1.450141e+03
7.451005e+01	9.553162e-01	2.237383e-02	-1.452332e+03
7.192633e+01	9.653875e-01	2.221226e-02	-1.451346e+03
7.432107e+01	9.608295e-01	2.244015e-02	-1.451632e+03
7.189716e+01	9.628065e-01	2.239502e-02	-1.450708e+03
7.301616e+01	9.825903e-01	2.237182e-02	-1.449570e+03
7.182831e+01	9.671056e-01	2.234424e-02	-1.449984e+03
7.396820e+01	9.739883e-01	2.263056e-02	-1.450957e+03
7.313436e+01	9.885358e-01	2.267139e-02	-1.448065e+03
7.386981e+01	9.839165e-01	2.230524e-02	-1.449802e+03
7.273965e+01	9.635246e-01	2.252260e-02	-1.448232e+03
7.493178e+01	9.712599e-01	2.243831e-02	-1.448958e+03
7.251030e+01	9.534412e-01	2.245474e-02	-1.451164e+03
7.343544e+01	9.665417e-01	2.237007e-02	-1.449396e+03
7.280654e+01	9.750004e-01	2.218739e-02	-1.450849e+03
7.256987e+01	9.667108e-01	2.257022e-02	-1.449102e+03
7.300025e+01	9.632017e-01	2.253591e-02	-1.449568e+03
7.220930e+01	9.661234e-01	2.222446e-02	-1.448310e+03
7.454810e+01	9.685380e-01	2.247510e-02	-1.450472e+03
7.337931e+01	9.614322e-01	2.240216e-02	-1.449897e+03
7.317461e+01	9.584751e-01	2.244749e-02	-1.450322e+03
7.284826e+01	9.637545e-01	2.237432e-02	-1.450627e+03
7.385769e+01	9.666863e-01	2.254333e-02	-1.449509e+03
7.239486e+01	9.851089e-01	2.246304e-02	-1.449784e+03
7.323001e+01	9.618186e-01	2.248610e-02	-1.449442e+03
7.441936e+01	9.782298e-01	2.238279e-02	-1.451550e+03
7.243821e+01	9.737129e-01	2.226572e-02	-1.450112e+03
7.384495e+01	9.781876e-01	2.250241e-02	-1.451000e+03
7.285836e+01	9.766278e-01	2.238697e-02	-1.449347e+03
7.175667e+01	9.988043e-01	2.264664e-02	-1.452497e+03
7.221282e+01	9.703338e-01	2.216275e-02	-1.450546e+03
7.359083e+01	9.741761e-01	2.262735e-02	-1.450605e+03
7.237375e+01	9.872775e-01	2.238825e-02	-1.450959e+03
7.261963e+01	9.713307e-01	2.222078e-02	-1.448932e+03
7.391995e+01	9.538394e-01	2.235333e-02	-1.449239e+03
7.326692e+01	9.616295e-01	2.245454e-02	-1.450060e+03
7.337949e+01	9.906942e-01	2.225653e-02	-1.452358e+03
7.378965e+01	9.747074e-01	2.232152e-02	-1.448996e+03
7.277903e+01	9.636942e-01	2.239821e-02	-1.450521e+03
7.194936e+01	9.856057e-01	2.228623e-02	-1.449049e+03
7.398730e+01	9.756276e-01	2.235138e-02	-1.451755e+03
7.274000e+01	9.589317e-01	2.252915e-02	-1.449273e+03
7.228618e+01	9.681686e-01	2.223347e-02	-1.449910e+03
7.314505e+01	9.685093e-01	2.237960e-02	-1.451586e+03
7.321763e+01	9.645524e-01	2.248034e-02	-1.451304e+03
7.332289e+01	9.579892e-01	2.213611e-02	-1.449107e+03
7.251536e+01	9.766198e-01	2.226599e-02	-1.450286e+03
7.292807e+01	9.631580e-01	2.259530e-02	-1.449054e+03
7.283243e+01	9.778356e-01	2.244818e-02	-1.449503e+03
7.246528e+01	9.710478e-01	2.245061e-02	-1.448909e+03
7.245574e+01	9.763232e-01	2.260890e-02	-1.450421e+03
7.323218e+01	9.715704e-01	2.244526e-02	-1.448216e+03
7.264166e+01	9.519845e-01	2.246157e-02	-1.450486e+03
7.313919e+01	9.722138e-01	2.246535e-02	-1.449996e+03
7.241394e+01	9.700914e-01	2.223479e-02	-1.451968e+03
7.393731e+01	9.620978e-01	2.231204e-02	-1.450680e+03
7.378727e+01	9.955311e-01	2.243720e-02	-1.448803e+03
7.247378e+01	9.601728e-01	2.278683e-02	-1.451052e+03
7.422731e+01	9.948351e-01	2.243228e-02	-1.448613e+03
7.331740e+01	9.732879e-01	2.263646e-02	-1.451620e+03
7.429828e+01	9.730548e-01	2.229778e-02	-1.449431e+03
7.391855e+01	9.688584e-01	2.221295e-02	-1.448054e+03
7.271329e+01	9.730157e-01	2.231446e-02	-1.448754e+03
7.343565e+01	9.677653e-01	2.225024e-02	-1.450621e+03
7.285726e+01	9.655836e-01	2.249601e-02	-1.451107e+03
7.275981e+01	9.742272e-01	2.279567e-02	-1.448612e+03
7.239638e+01	9.802654e-01	2.266433e-02	-1.450283e+03
7.289286e+01	9.604770e-01	2.222601e-02	-1.451127e+03
7.272530e+01	9.910434e-01	2.245359e-02	-1.451866e+03
7.276838e+01	9.750324e-01	2.247212e-02	-1.450500e+03
7.193331e+01	9.786084e-01	2.237341e-02	-1.449707e+03
7.268645e+01	9.591099e-01	2.223521e-02	-1.450921e+03
7.274122e+01	9.476782e-01	2.213329e-02	-1.449530e+03
7.368251e+01	9.700041e-01	2.242648e-02	-1.451694e+03
7.247442e+01	9.639005e-01	2.232822e-02	-1.449735e+03
7.246373e+01	9.723285e-01	2.237466e-02	-1.450538e+03
7.266075e+01	9.615832e-01	2.222239e-02	-1.450996e+03
7.321625e+01	9.587624e-01	2.227467e-02	-1.450709e+03
7.256683e+01	9.731614e-01	2.263933e-02	-1.449342e+03
7.225858e+01	9.636765e-01	2.228786e-02	-1.451167e+03
7.140635e+01	9.514420e-01	2.267021e-02	-1.451102e+03
7.317239e+01	9.817679e-01	2.243699e-02	-1.450762e+03
7.348494e+01	9.526368e-01	2.225507e-02	-1.451022e+03
7.359005e+01	9.421538e-01	2.245142e-02	-1.452874e+03
7.306576e+01	9.695694e-01	2.239077e-02	-1.449193e+03
7.286261e+01	9.696962e-01	2.264876e-02	-1.449436e+03
7.316510e+01	9.647963e-01	2.238497e-02	-1.449628e+03
7.388248e+01	9.539442e-01	2.265188e-02	-1.450384e+03
7.239227e+01	9.588017e-01	2.231333e-02	-1.449987e+03
7.394779e+01	9.439568e-01	2.238098e-02	-1.450488e+03
7.325002e+01	9.926663e-01	2.252025e-02	-1.448955e+03
7.377298e+01	9.663483e-01	2.269159e-02	-1.449657e+03
7.417862e+01	9.599203e-01	2.219912e-02	-1.450717e+03
7.398842e+01	9.708439e-01	2.250035e-02	-1.451005e+03
7.278660e+01	9.665717e-01	2.252115e-02	-1.449238e+03
7.138634e+01	9.661621e-01	2.255402e-02	-1.449430e+03
7.261393e+01	1.002580e+00	2.233802e-02	-1.450427e+03
7.365846e+01	9.811013e-01	2.227043e-02	-1.450493e+03
7.382217e+01	9.696925e-01	2.256040e-02	-1.451212e+03
7.340423e+01	9.709212e-01	2.219338e-02	-1.450647e+03
7.338263e+01	9.520953e-01	2.268062e-02	-1.451730e+03
7.260149e+01	9.600696e-01	2.252163e-02	-1.450099e+03
7.420979e+01	9.644997e-01	2.250097e-02	-1.451942e+03
7.353176e+01	9.412624e-01	2.219317e-02	-1.449571e+03
7.143673e+01	9.682100e-01	2.252514e-02	-1.451319e+03
7.290734e+01	9.651510e-01	2.244119e-02	-1.450351e+03
7.156262e+01	9.607217e-01	2.227023e-02	-1.449494e+03
7.307607e+01	9.791802e-01	2.231858e-02	-1.450380e+03
7.232616e+01	9.862078e-01	2.227875e-02	-1.449339e+03
7.233841e+01	9.874988e-01	2.247889e-02	-1.449120e+03
7.335248e+01	9.701815e-01	2.235436e-02	-1.448687e+03
7.165536e+01	9.592416e-01	2.254468e-02	-1.451133e+03
7.416762e+01	9.750627e-01	2.227812e-02	-1.451948e+03
7.248009e+01	9.664595e-01	2.259792e-02	-1.450409e+03
7.191673e+01	9.601655e-01	2.238597e-02	-1.451258e+03
7.362108e+01	9.569352e-01	2.275211e-02	-1.451124e+03
7.268806e+01	9.770235e-01	2.262927e-02	-1.450429e+03
7.345798e+01	9.681245e-01	2.246024e-02	-1.449299e+03
7.378711e+01	9.613361e-01	2.253779e-02	-1.450313e+03
7.257044e+01	9.691920e-01	2.234273e-02	-1.451312e+03
7.192729e+01	9.492015e-01	2.275898e-02	-1.449364e+03
7.216411e+01	9.766904e-01	2.241759e-02	-1.450457e+03
7.281068e+01	9.656747e-01	2.230223e-02	-1.449165e+03
7.198109e+01	9.715223e-01	2.243279e-02	-1.449772e+03
7.274919e+01	9.636288e-01	2.242651e-02	-1.450120e+03
7.244673e+01	9.640189e-01	2.238666e-02	-1.450577e+03
7.224378e+01	9.800652e-01	2.233722e-02	-1.448571e+03
7.300329e+01	9.724380e-01	2.272303e-02	-1.449187e+03
7.248731e+01	9.703020e-01	2.285881e-02	-1.449687e+03
7.356597e+01	9.765368e-01	2.229039e-02	-1.450585e+03
7.245573e+01	9.787381e-01	2.256084e-02	-1.450116e+03
7.236307e+01	9.461260e-01	2.264604e-02	-1.451469e+03
7.334242e+01	9.602979e-01	2.246873e-02	-1.447627e+03
7.205670e+01	9.696030e-01	2.236238e-02	-1.449452e+03
7.387983e+01	9.654277e-01	2.270668e-02	-1.451210e+03
7.234817e+01	9.758415e-01	2.247345e-02	-1.450922e+03
7.344242e+01	9.845216e-01	2.262755e-02	-1.449488e+03
7.294373e+01	9.544961e-01	2.262314e-02	-1.450490e+03
7.378815e+01	9.557528e-01	2.240065e-02	-1.451889e+03
7.321651e+01	9.917650e-01	2.259401e-02	-1.448604e+03
7.304172e+01	9.919665e-01	2.279933e-02	-1.450665e+03
7.458034e+01	9.661397e-01	2.252059e-02	-1.450988e+03
7.412977e+01	9.652743e-01	2.242530e-02	-1.449884e+03
7.336844e+01	9.752452e-01	2.256706e-02	-1.450296e+03
7.198989e+01	9.586908e-01	2.238224e-02	-1.449525e+03
7.288732e+01	9.546510e-01	2.256001e-02	-1.450114e+03
7.395446e+01	9.808128e-01	2.275354e-02	-1.452366e+03
7.396942e+01	9.709836e-01	2.247567e-02	-1.450373e+03
7.243943e+01	9.670829e-01	2.250707e-02	-1.449114e+03
7.344912e+01	9.738495e-01	2.244490e-02	-1.448976e+03
7.266855e+01	9.655048e-01	2.226324e-02	-1.451298e+03
7.315629e+01	9.762398e-01	2.239893e-02	-1.449954e+03
7.429254e+01	9.647140e-01	2.258004e-02	-1.449910e+03
7.322416e+01	9.689265e-01	2.268670e-02	-1.449902e+03
7.213080e+01	9.674695e-01	2.235551e-02	-1.449416e+03
7.162499e+01	9.646045e-01	2.237764e-02	-1.450748e+03
7.403206e+01	9.616477e-01	2.247428e-02	-1.450710e+03
7.257946e+01	9.852749e-01	2.254511e-02	-1.447832e+03
7.251843e+01	9.645495e-01	2.233883e-02	-1.450433e+03
7.403057e+01	9.895376e-01	2.239709e-02	-1.449403e+03
7.328152e+01	9.681090e-01	2.235825e-02	-1.451539e+03
7.406855e+01	9.880223e-01	2.241829e-02	-1.450660e+03
7.100103e+01	9.470465e-01	2.236565e-02	-1.450325e+03
7.340257e+01	9.635964e-01	2.253345e-02	-1.450982e+03
7.390076e+01	9.716125e-01	2.234276e-02	-1.449902e+03
7.268500e+01	9.852356e-01	2.230921e-02	-1.451820e+03
7.236017e+01	9.700585e-01	2.247344e-02	-1.449618e+03
7.306124e+01	9.732768e-01	2.265475e-02	-1.450354e+03
7.264611e+01	9.611077e-01	2.212566e-02	-1.450943e+03
7.430190e+01	9.530079e-01	2.248802e-02	-1.449311e+03
7.125814e+01	9.761200e-01	2.243608e-02	-1.451961e+03
7.282763e+01	9.721280e-01	2.271179e-02	-1.449071e+03
7.300924e+01	9.610392e-01	2.232481e-02	-1.448172e+03
7.307185e+01	9.714512e-01	2.216402e-02	-1.449245e+03
7.234469e+01	9.796856e-01	2.247696e-02	-1.450665e+03
7.336561e+01	9.735970e-01	2.238625e-02	-1.450500e+03
7.139670e+01	9.472997e-01	2.230084e-02	-1.450369e+03
7.196889e+01	9.801816e-01	2.216826e-02	-1.449333e+03
7.347765e+01	9.811203e-01	2.230869e-02	-1.450192e+03
7.326713e+01	9.708173e-01	2.254099e-02	-1.449909e+03
7.382476e+01	9.517066e-01	2.237990e-02	-1.450860e+03
7.274305e+01	9.869198e-01	2.229506e-02	-1.450454e+03
7.275986e+01	9.615432e-01	2.249892e-02	-1.451118e+03
7.236504e+01	9.561060e-01	2.255160e-02	-1.450823e+03
7.228651e+01	9.613928e-01	2.253101e-02	-1.450094e+03
7.326793e+01	9.657981e-01	2.253174e-02	-1.449866e+03
7.231637e+01	9.783409e-01	2.255840e-02	-1.449681e+03
7.290837e+01	9.822648e-01	2.235781e-02	-1.451428e+03
7.335880e+01	9.535265e-01	2.237146e-02	-1.449386e+03
7.183852e+01	9.770734e-01	2.256591e-02	-1.449880e+03
7.282329e+01	9.722411e-01	2.223291e-02	-1.450739e+03
7.434296e+01	9.525386e-01	2.227423e-02	-1.449049e+03
7.372761e+01	9.599099e-01	2.250361e-02	-1.450741e+03
7.428330e+01	9.647448e-01	2.246737e-02	-1.449419e+03
7.286291e+01	9.678321e-01	2.226029e-02	-1.450612e+03
7.373334e+01	9.677861e-01	2.234390e-02	-1.448603e+03
7.297951e+01	9.638364e-01	2.244194e-02	-1.450866e+03
